Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.923632332,7.455480944,7.87888067,13.59012507,20.497677,28.63416844,36.12691095,36.83260631,20.21143174,,,28.62757724,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9692138,1.319728558,5.32461475,4.300302042,1.348135443,1.251707793,0.864961599,0.79734831,1.084888604,0.88790558,0.854933694,,,,,0.474800469,,
Angola,AGO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.04859,,,,,19.64532314,28.14015415,,38.67588328,29.03777633,21.39987188,16.44079888,14.26984948,12.67912447,28.54466103,,
United Arab Emirates,ARE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.088773772,18.45719357,22.54868489,25.95277676,9.564827513,4.27882016,4.667539624,,34.78932641,15.55553763,13.39659214,11.31051457,5.954781364,6.998090737,10.73308907,,
Argentina,ARG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.858145696,1.575157079,0.420915446,0.395285976,2.124838287,1.448768359,0.233931605,0.288112016,0.168976254,0.216653028,0.538179468,0.225951298,0.13232132,3.367264627,0.516862067,0.5665052,2.397580844,6.879394697,21.02060045,43.82691112,12.36421487,11.50230709,13.04608702,8.718719712,4.183854573,3.217983577,2.479374983,1.195826971,2.296088636,2.764185112,2.645590648,1.456841205,1.685038581,0.923115975,0.453659664,0.600714181,0.462939196,0.267799853,0.405291324,0.669273861,0.453942538,0.782151179,1.024314299,0.870998502,0.666286716,0.566228588,,
Armenia,ARM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,1.203440131,1.275453747,1.343893601,0.745200643,1.486534339,3.299276434,4.402790442,2.536393848,5.266059778,5.223534457,8.449670632,12.41889029,30.34419242,17.34647969,14.52232769,12.90370817,14.0103749,12.91893115,21.37513542,30.85053514,26.67385843,36.12262403,34.48278285,38.91639816,51.0564164,51.27471146,63.41513086,73.55051567,90.19711628,88.70241512,88.11522998,114.8462608,160.7228263,79.54390339,90.61534827,98.49968272,80.69490708,58.54514788,49.98201296,47.93476771,55.57879971,65.88775006,63.53504499,54.19345068,59.92062334,92.40507812,,
Austria,AUT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.167252438,0.223463811,0.143561763,0.136981314,0.123347761,0.128322441,0.118675182,0.102560091,0.183857641,0.166800654,1.155450742,1.207235762,1.114397484,1.492169639,19.69077149,34.645066,4.422392102,2.438797255,3.459480859,4.310285473,5.393670182,4.357580045,5.672992262,8.272884591,5.437363702,4.899274342,3.702969686,3.035189275,4.589031671,8.600776117,13.70743408,24.67294639,33.18088836,22.71422297,12.82106782,12.45009155,8.985220814,5.774168329,6.166572813,6.488984486,8.307682432,6.707928524,9.583181481,8.666506921,7.529989978,9.140005341,,
Azerbaijan,AZE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.8770187,0.929495019,0.748431564,0.714098574,0.907884497,0.609109971,0.593163268,1.123155,1.508942458,1.730819595,2.563399208,4.000423692,5.388086688,5.075813614,5.171760662,3.548350449,3.211727662,3.309798666,4.697528322,5.305488774,5.275989569,7.835704762,11.26480135,22.80635852,19.57913859,16.29450952,15.95620513,14.7717309,13.00149687,20.34187357,27.61696736,33.12926143,49.17367274,36.86546013,25.501843,22.31271302,19.72949193,20.34159915,22.098282,20.03170024,,,,,,,,
Benin,BEN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044623314,0.318934767,0.39552186,1.836709394,1.179724635,2.018223249,1.888783375,1.752920607,0.483596522,,,0.381055978,0.2960128,0.329285738,0.889113443,1.59518674,2.282729018,4.196416302,1.729222562,1.082142499,0.823998159,9.144454657,6.977849855,5.7762964,9.022164987,5.022765316,3.737310642,3.990391109,,
Bulgaria,BGR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020309764,0.022686454,0.02211512,0.078812603,0.382904883,0.972054372,0.042561543,0.031028258,0.495648311,0.994327647,0.549587177,1.751488916,2.616388621,5.434061801,15.26860384,2.413423568,0.936282765,0.743288183,0.557488598,0.666787544,1.575095152,,,,,,0.247301154,0.301955735,,
Bahrain,BHR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.877385665,1.81384008,2.895837386,7.552129002,9.321002038,6.726918556,2.708184233,2.133420246,2.24109826,2.408437777,2.369857173,4.397909477,7.463592894,4.807731247,8.104032357,2.0327647,1.118333008,0.542558965,0.905386213,1.85805127,2.149892702,0.946969261,1.032773001,1.587085144,2.565719266,1.965497498,1.712706641,,
"Bahamas, The",BHS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031796871,0.014949988,0.038513481,0.040182503,0.023654381,0.023241692,0.009857955,,
Belize,BLZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.580696787,1.324483655,3.286931005,3.117465858,6.798151745,3.907800055,5.787283897,2.336669352,1.211505963,1.42640438,1.404028154,2.555338542,2.392788533,1.461318052,0.465594952,1.575244411,0.296703894,0.458750981,0.682054813,0.369037173,0.23006846,3.144533314,0.548001517,0.680184839,0.306460662,,,
