Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,3.771558343,3.477915445,3.535326279,4.728056358,9.293216529,3.476876884,3.331916042,4.127173131,3.432153912,4.382529841,5.050733143,7.132591259,3.491194452,5.087504931,6.02461249,4.373851884,4.41501093,3.64562399,5.166612474,5.715458876,10.99165192,18.34479029,31.45351341,27.50315934,34.23721972,23.69216645,25.8487492,18.53047315,18.65064273,19.98250986,24.02498595,30.54028224,41.0251062,26.61532084,29.44260235,28.14985986,24.80943858,24.45206444,26.11154384,31.55309453,38.07220404,25.57153583,33.81969662,32.78285603,27.18522485,,
Afghanistan,AFG,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.772971068,1.210716705,2.412058999,3.94204645,5.729244243,3.958366948,4.779718543,2.146453206,1.658740731,2.825054002,5.357218033,8.03539859,10.00321594,18.38163426,30.86823651,11.97270543,8.840410601,8.830991041,,,7.505260739,7.467633888,5.338494773,5.867925418,8.204811877,5.407140883,4.387436023,,
Angola,AGO,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.55563822,41.63539441,69.96599355,74.67204063,32.66301094,,,5.164352236,7.176321104,8.218200635,55.61584948,68.64858394,41.92303237,34.29876666,72.98403851,50.90743107,42.03839035,50.94026234,85.09934116,58.7393958,76.48686121,57.37655471,44.68492862,30.57058861,27.85971863,9.502050155,18.38978106,,
United Arab Emirates,ARE,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.71963764,66.26228305,47.59888244,21.07955723,16.00864855,17.71656815,,71.0393205,29.40579539,23.2010641,19.03003866,10.99063676,11.85132671,12.7222478,,
Argentina,ARG,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,28.70870871,19.60565891,34.06360391,28.19287466,13.18192561,24.96659472,12.67411581,21.63662766,23.30302628,15.03648809,10.15280687,167.3913043,12.38543155,22.14947584,24.4032361,84.51122531,112.9592097,306.0389723,84.43729029,70.04218843,64.48176724,57.49580877,21.24029367,19.95148709,19.95566739,7.052139279,8.371315362,11.21216085,11.04798667,6.611985567,8.489550406,8.375332117,3.302180154,3.981846913,5.631761879,4.268429926,4.213009787,5.857001193,4.809544483,5.32936562,5.359157688,9.940348117,7.5732,,,
